android_4.2,0
android_4.4,1
android_4.1,2
android_4,3
android_5,4
android_5.1,5
android_6,6
android_4.3,7
ios_7.1,8
android_2.3,9
windows_phone_os,10
ubuntu,_11
ios_5.1,12
ios_8.4,13
windows_phone_os,14
ios_8.0.2,15
unknown_os_platform,16
windows_phone_os,17
ios_9.2,18
ios_8.2,19
tizen_2.3,20
ios_9.3,21
ios_5,22
windows_7,23
ios_8.1,24
ios_1,25
ios_10,26
windows_xp,27
mac_os_x,28
windows_8,29
linux,30
mac_os_x,31
mac_os_x,32
windows_phone_os,33
android_2.2,34
ios_9,35
rim_os_10.2,36
ios_8.3,37
ios_8,38
ios_7,39
ios_9.1,40
android_0.5,41
windows_vista,42
ios_4.3,43
windows_phone_os,44
ios_6.1,45
ios_4,46
windows_server_2003,47
xp_x64,48
ios_2,49
windows_rt_8.1,50
android_3.2,51
ios_3.2,52
ios_5,53
mac_os_x,54
ios_4.3.2,55
linux_smartphone_os,56
windows_phone_os,57
android_3,58
android_3.1,59
rim_os_10.1,60
ios_4.3.5,61
ios_6,62
symbian_os_s3,63
windows_phone_os,64
mac_os_x,65
ios_2.2.1,66
rim_os_10.2,67
android_2,68
rim_tablet_os,69
ios_4.3.3,70
symbian_os_9.2,71
windows_2000,72
