android_4.2,O0
android_4.4,O1
android_4.1,O2
android_4.0,O3
android_5.0,O4
android_5.1,O5
android_6.0,O6
android_4.3,O7
ios_7.1,O8
android_2.3,O9
windows_phone_os,O10
ubuntu,O11
ios_5.1,O12
ios_8.4,O13
windows_phone_os,O14
ios_8.0.2,O15
unknown_os_platform,O16
windows_phone_os,O17
ios_9.2,O18
ios_8.2,O19
tizen_2.3,O20
ios_9.3,O21
ios_5.0,O22
windows_7,O23
ios_8.1,O24
ios_1.0,O25
ios_10.0,O26
windows_xp,O27
mac_os_x,O28
windows_8,O29
linux,O30
mac_os_x,O31
mac_os_x,O32
windows_phone_os,O33
android_2.2,O34
ios_9.0,O35
rim_os_10.2,O36
ios_8.3,O37
ios_8.0,O38
ios_7.0,O39
ios_9.1,O40
android_0.5,O41
windows_vista,O42
ios_4.3,O43
windows_phone_os,O44
ios_6.1,O45
ios_4.0,O46
windows_server_2003,O47
xp_x64,O48
ios_2.0,O49
windows_rt_8.1,O50
android_3.2,O51
ios_3.2,O52
ios_5.0,O53
mac_os_x,O54
ios_4.3.2,O55
linux_smartphone_os,O56
windows_phone_os,O57
android_3.0,O58
android_3.1,O59
rim_os_10.1,O60
ios_4.3.5,O61
ios_6.0,O62
symbian_os_s3,O63
windows_phone_os,O64
mac_os_x,O65
ios_2.2.1,O66
rim_os_10.2,O67
android_2.0,O68
rim_tablet_os,O69
ios_4.3.3,O70
symbian_os_9.2,O71
windows_2000,O72
